FNV	A32	DJB
0	1050	1027
0	1002	958
0	1013	943
0	992	974
0	1012	1025
0	1000	965
0	1023	1021
0	1039	1030
0	958	1036
0	1054	998
0	986	1030
0	1020	968
0	1006	976
0	994	1009
0	1031	1064
0	946	985
0	1056	1026
0	990	1006
0	997	987
0	992	1003
0	993	1048
0	900	972
0	956	965
0	1026	1025
0	1044	1003
0	999	999
0	1034	1035
0	1015	1054
0	1019	1012
0	1004	998
0	1002	900
0	1015	1012
0	1007	1032
0	1012	972
0	990	1024
0	953	1018
0	948	994
0	1015	1015
0	984	995
0	1000	1018
0	1006	955
0	960	1008
0	1018	1000
0	987	1025
0	999	1022
0	993	974
0	1057	994
0	1005	1016
0	982	1008
0	998	1039
0	975	982
0	960	1014
0	938	986
0	1050	1017
0	969	1015
0	1056	970
0	1004	1026
0	1022	1042
0	965	1002
0	996	972
0	1022	1004
0	1008	982
0	985	967
0	964	1045
0	965	984
0	994	954
0	990	1035
0	987	1017
0	999	960
0	1000	1003
0	945	995
0	1036	1006
0	1030	1046
0	987	1021
0	1037	956
0	943	925
0	1001	993
0	961	1023
0	1029	1007
100000	1072	961
0	1081	1068
0	975	1000
0	921	1014
0	998	1012
0	1010	1040
0	1021	1064
0	1016	935
0	1031	1021
0	983	983
0	1002	991
0	993	1027
0	978	1028
0	1036	921
0	970	955
0	1050	978
0	981	952
0	1013	987
0	1008	954
0	943	1038
0	1018	959
